total_revenue_item,product
1712554,"bed_bath_table"
1657373,"health_beauty"
1585330,"computers_accessories"
1430176,"furniture_decor"
1429217,"watches_gifts"
1392128,"sports_leisure"
1094758,"housewares"
852294,"auto"
838281,"garden_tools"
779698,"cool_stuff"
646826,"office_furniture"
619038,"toys"
539846,"baby"
506739,"perfumery"
486882,"telephony"
317440,"stationery"
311269,"pet_shop"
279122,"computers"
259857,"electronics"
241476,"construction_tools_construction"
233074,"musical_instruments"
225584,"small_appliances"
218158,"fashion_bags_accessories"
207010,"fixed_telephony"
195480,"consoles_games"
187151,"luggage_accessories"
136645,"home_construction"
136139,"furniture_living_room"
124563,"home_appliances_2"
118731,"agro_industry_and_commerce"
95532,"home_appliances"
91171,"air_conditioning"
84329,"home_confort"
74661,"kitchen_dining_laundry_garden_furniture"
72712,"construction_tools_lights"
71430,"drinks"
68488,"signaling_and_security"
65691,"construction_tools_safety"
64695,"books_general_interest"
60325,"audio"
56746,"industry_commerce_and_business"
51229,"small_appliances_home_oven_and_coffee"
46429,"food"
45336,"market_place"
42394,"costruction_tools_garden"
32423,"fashion_shoes"
31599,"furniture_bedroom"
30993,"art"
27290,"food_drink"
24915,"books_technical"
21069,"costruction_tools_tools"
18995,"christmas_supplies"
17291,"fashion_male_clothing"
12715,"fashion_underwear_beach"
10043,"tablets_printing_image"
9530,"cine_photo"
7935,"dvds_blu_ray"
6901,"music"
6702,"books_imported"
5999,"furniture_mattress_and_upholstery"
5966,"party_supplies"
5110,"fashio_female_clothing"
4221,"diapers_and_hygiene"
3646,"fashion_sport"
2914,"la_cuisine"
2326,"arts_and_craftmanship"
2213,"flowers"
1711,"home_comfort_2"
1199,"cds_dvds_musicals"
786,"fashion_childrens_clothes"
325,security_and_services
